id,value_mm,group,kind,x0,y0,x1,y1,use_for_calculation
1,154,upper_left,route_segment,334.26,144.74,347.18,157.05,True
2,244,upper_left,route_segment,359.28,192.8,369.39,201.21,True
3,341,upper_left,route_segment,427.86,198.74,440.78,211.05,True
4,188,upper_right,route_segment,500.58,240.26,513.5,252.57,True
5,134,upper_right,route_segment,519.6,286.4,529.71,294.81,True
6,149,lower_left,route_segment,333.78,297.86,346.7,310.17,True
7,244,lower_left,route_segment,347.28,369.68,357.39,378.09,True
8,341,lower_left,route_segment,427.86,351.62,440.78,363.93,True
9,2450,main_vertical,overall_segment,452.46,282.63,460.93,295.89,True
10,220,branch_LT,branch_segment,515.82,150.87,524.29,161.01,True
11,220,lower_vertical,branch_segment,515.82,380.31,524.29,390.45,True
12,135,lower_vertical,branch_segment,515.82,438.15,524.29,448.29,True
13,134,lower_vertical,branch_segment,575.52,465.2,585.63,473.61,True
14,200,lower_vertical,branch_segment,515.82,509.91,524.29,520.05,True
