page,id,value_mm,classification,confidence
1,0,1383,independent_candidate,0.679
1,1,600,independent_candidate,0.7
1,2,2160,independent_candidate,0.679
1,3,900,independent_candidate,0.695
1,4,320,independent_candidate,0.679
1,5,200,independent_candidate,0.682
2,0,730,independent_candidate,0.691
2,1,174,independent_candidate,0.679
2,3,1406,overall_or_parent_candidate,0.76
2,4,1900,independent_candidate,0.679
2,5,150,independent_candidate,0.696
2,8,10200,overall_or_parent_candidate,0.852
2,11,5644,overall_or_parent_candidate,0.792
2,12,1350,independent_candidate,0.679
2,13,293,independent_candidate,0.701
2,14,224,independent_candidate,0.614
3,0,2364,independent_candidate,0.679
3,1,950,independent_candidate,0.703
3,3,1250,overall_or_parent_candidate,0.763
3,4,198,independent_candidate,0.683
3,5,224,independent_candidate,0.614
3,6,228,independent_candidate,0.709
3,7,200,independent_candidate,0.711
3,8,168,independent_candidate,0.679
3,9,146,independent_candidate,0.614
3,10,178,independent_candidate,0.713
3,11,210,independent_candidate,0.612
3,12,264,independent_candidate,0.679
4,0,250,independent_candidate,0.703
4,1,214,independent_candidate,0.7
4,2,159,independent_candidate,0.627
4,3,214,independent_candidate,0.692
4,4,504,independent_candidate,0.679
4,6,378,overall_or_parent_candidate,0.684
4,7,159,independent_candidate,0.614
4,8,81,independent_candidate,0.689
4,9,171,independent_candidate,0.708
4,10,159,independent_candidate,0.614
4,11,81,independent_candidate,0.703
4,12,154,independent_candidate,0.614
4,14,380,overall_or_parent_candidate,0.665
4,15,159,independent_candidate,0.614
4,16,155,independent_candidate,0.685
5,0,285,independent_candidate,0.693
5,1,651,independent_candidate,0.697
5,2,850,independent_candidate,0.679
5,4,450,overall_or_parent_candidate,0.763
5,6,2400,overall_or_parent_candidate,0.738
5,7,34,independent_candidate,0.706
5,9,3505,overall_or_parent_candidate,0.766
6,0,285,independent_candidate,0.696
6,1,651,independent_candidate,0.685
6,2,850,independent_candidate,0.679
6,5,2950,overall_or_parent_candidate,0.764
6,7,2400,overall_or_parent_candidate,0.733
6,8,34,independent_candidate,0.706
6,10,3505,overall_or_parent_candidate,0.761
7,0,60,independent_candidate,0.734
7,2,1950,overall_or_parent_candidate,0.766
7,3,34,independent_candidate,0.706
7,4,650,independent_candidate,0.719
7,6,840,overall_or_parent_candidate,0.806
7,7,522,independent_candidate,0.679
7,8,250,independent_candidate,0.665
8,5,23525,overall_or_parent_candidate,0.852
8,6,1000,independent_candidate,0.679
8,11,24100,overall_or_parent_candidate,0.763
9,0,195,independent_candidate,0.683
9,1,123,independent_candidate,0.704
9,2,244,independent_candidate,0.599
9,3,123,independent_candidate,0.612
9,4,175,independent_candidate,0.679
10,0,154,independent_candidate,0.71
10,1,244,independent_candidate,0.614
10,2,341,independent_candidate,0.717
10,3,220,overall_or_parent_candidate,0.726
10,5,188,independent_candidate,0.702
10,6,134,independent_candidate,0.614
10,8,2450,overall_or_parent_candidate,0.733
10,9,341,independent_candidate,0.694
10,10,244,independent_candidate,0.614
10,11,149,independent_candidate,0.713
10,12,220,independent_candidate,0.679
10,13,135,independent_candidate,0.679
10,14,134,independent_candidate,0.612
10,15,200,independent_candidate,0.679
